code,name,format,unit,remark,type,source,normalization
AN,Start depth,Numeral,m,metres under pipe top,,sgf,
Ant-f,Screened/unscreened,,,,,sgf,
Ant-typ,Antenna type,,,e.g. unshielded 50 MHz,,sgf,
AO,End depth,Numeral,m,,,sgf,
cc-givare,c/c sensor,,,Distance between geophones,,sgf,
cc-mätn,c/c measurement points,,,Distance between measurement points,,sgf,
deltaDjup,Measurement range,,,,,sgf,
DynTyp,Type of impact cushion,,,loose or solid,,sgf,
Elektrodkonfig,Electrode configuration,,,"e.g. Wenner, dipol-dipol",,sgf,
Elektrodtyp,Electrode type,,,e.g. steel,,sgf,
Energi,Energy source,,,"Dynamite, sledgehammer, ...",,sgf,
f,Sensor frequency,,,e.g. 9.8 kHz,,sgf,
FiLiq,Fluid in filter,,Text,,,sgf,
FiPos,Filter location,Numeral,"value 1,2 or 3",,,sgf,
FiTyp,Filter type,Text,,,,sgf,
Geof-f,Geophone type,,,"e.g. 10 Hz, vertical",,sgf,
Geof-riktn,Frequency and orientation,,,,,sgf,
Grad,Gradiometer,,,,,sgf,
Gummi,Use of damper,,,Yes/No,,sgf,
Hammare,Hammers,Text,,,,sgf,
HI,Start time,,,,,sgf,
HL,Section,,,,,sgf,
HXslut,X endpoint,,,,,sgf,
HXstart,X starting point,,,,,sgf,
HYslut,Y endpoint,,,,,sgf,
HYstart,Y start point,,,,,sgf,
HZ,Level tube top,,,,,sgf,
HZslut,Z end point,,,,,sgf,
HZstart,Z start point,,,,,sgf,
IA,Main measurement direction,Numeral,degrees,,,sgf,
IE,Tip net area factor,,,,,sgf,
IF,Mantle net area factor,,,,,sgf,
IG,Application class,Numeral,1-4,Available in 4 different classes (1-4),,sgf,
Instr,Geophysical instrument,,,Instrument type and manufacturer,,sgf,
KonTyp,Type of cone,Text,,loose or solid,,sgf,
KQ,Constant,Numeral,,,,sgf,
KronD,Diameter drill bit,Numeral,mm,,,sgf,
KronTyp Type of drill bit,Numeral,mm,,,,sgf,
MemTyp,Membrane type,Text,,,,sgf,
Metod,Method,Text,,,,sgf,
Off,Offset,Numeral,,,,sgf,
PelMetod,Method,Text,,,,sgf,
Pman,"Zero reading, manometer",Numeral,,,,sgf,
PmtBorr,Drilling procedure,Text,,,,sgf,
PmtFI,"Diameter, probe",Numeral,mm,,,sgf,
PmtTyp,Type of Pressuremeter,Text,,,,sgf,
Pos-typ,Method for positioning,,,"Hand-GPS, RTK-GPS, Totalstation...",,sgf,
ProvD,The sampler’s diameter,Numeral,mm,,,sgf,
ProvK,Sampling category,Text,,"Text A, B or C",,sgf,
ProvL,The sampler’s length,Numeral,mm,,,sgf,
ProvNed,Penetration method,Text,,"Static, dynamic, rotation and etc.",,sgf,
ProvTyp,Type of sampler*,Text,,Text,,sgf,
Res-instr,Type of equipment/instrument,,,"Manufacturer, model: e.g. ABEM Terrameter LS",,sgf,
Rod,Rods,Text,,Type and diameter,,sgf,
RorL,Tube length,Numeral,m,,,sgf,
Slits,Slotted tube used,Text,,Yes/No,,sgf,
Spets,Type of tip,Text,,Type and diameter,,sgf,
SpolM,Flush medium,Text,,,,sgf,
ST,System stiffness,Numeral,,,,sgf,
Transm,Transmitter,Text,Text,e.g. Murmansk,,sgf,
Transm-type,Fixed / portable,Text,Text,,,sgf,
Uppstick,Length above ground level,,,,,sgf,
Utvärdprog,Evaluation software,,,e.g. Rayfract,,sgf,
VC,Original volume Measurement cell,,,,,sgf,
VingD,Size of vane,Numeral,mm/mm,Diameter/Thickness,,sgf,
VS,Size of vane,Numeral,mm/mm,Diameter/height,,sgf,
